User,Compound,Positive,Negative,Neutral,Tweets Ago
@lighteves,0.0,0.0,0.0,1.0,0
@lighteves,0.0,0.0,0.0,1.0,1
@lighteves,0.0,0.0,0.0,1.0,2
@lighteves,0.0,0.0,0.0,1.0,3
@lighteves,0.0,0.0,0.0,1.0,4
@lighteves,0.0,0.0,0.0,1.0,5
@theBadChai,0.0,0.0,0.0,1.0,0
@theBadChai,0.0,0.0,0.0,1.0,1
@theBadChai,0.0,0.0,0.0,1.0,2
@theBadChai,0.0,0.0,0.0,1.0,3
@theBadChai,0.6269,0.578,0.0,0.422,4
@theBadChai,0.0,0.0,0.0,1.0,5
@justinthomasva,0.0,0.0,0.0,1.0,0
@justinthomasva,0.0,0.0,0.0,1.0,1
@justinthomasva,0.0,0.0,0.0,1.0,2
@justinthomasva,0.0,0.0,0.0,1.0,3
@justinthomasva,0.0,0.0,0.0,1.0,4
@justinthomasva,0.0,0.0,0.0,1.0,5
@justinthomasva,0.0,0.0,0.0,1.0,6
@justinthomasva,0.0,0.0,0.0,1.0,7
@justinthomasva,0.0,0.0,0.0,1.0,8
@justinthomasva,0.0,0.0,0.0,1.0,9
@justinthomasva,0.0,0.0,0.0,1.0,10
@justinthomasva,0.0,0.0,0.0,1.0,11
@justinthomasva,0.0,0.0,0.0,1.0,12
@justinthomasva,0.0,0.0,0.0,1.0,13
@justinthomasva,0.0,0.0,0.0,1.0,14
@justinthomasva,0.0,0.0,0.0,1.0,15
@justinthomasva,0.0,0.0,0.0,1.0,16
@justinthomasva,0.0,0.0,0.0,1.0,17
@justinthomasva,0.0,0.0,0.0,1.0,18
@justinthomasva,0.0,0.0,0.0,1.0,19
@justinthomasva,0.0,0.0,0.0,1.0,20
@justinthomasva,0.0,0.0,0.0,1.0,21
@justinthomasva,0.0,0.0,0.0,1.0,22
@justinthomasva,-0.128,0.0,0.333,0.667,23
@justinthomasva,-0.4404,0.0,0.146,0.854,24
@justinthomasva,0.6124,0.208,0.0,0.792,25
@justinthomasva,0.0,0.0,0.0,1.0,26
@justinthomasva,0.0,0.0,0.0,1.0,27
@justinthomasva,0.0,0.0,0.0,1.0,28
@justinthomasva,0.0,0.0,0.0,1.0,29
